artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),42,444333,TRUE,2006,57,0,0.859,0.681,1,-6.247,1,0.0549,0.34,0.000161,0.213,0.852,121.243,pop,1,0,0,0,0,0,0
All Time Low,"Dear Maria, Count Me In",23,182826,FALSE,2007,76,1,0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,rock,0,1,0,0,0,0,0
Amy Winehouse,Back To Black,13,241293,TRUE,2006,76,1,0.403,0.422,7,-13.964,0,0.0373,0.134,2.05E-05,0.0861,0.378,122.728,R&B,0,0,0,0,0,1,0
Keyshia Cole,Let It Go,9,238360,FALSE,2007,58,0,0.808,0.721,1,-5.165,1,0.213,0.197,0,0.205,0.773,94.955,"hip hop, pop, R&B",1,0,1,0,0,1,0
Ciara,Promise,7,267413,FALSE,2006,56,0,0.697,0.629,9,-5.757,1,0.0425,0.409,3.80E-06,0.0819,0.439,123.279,"pop, R&B",1,0,0,0,0,1,0
Enrique Iglesias,Do You Know? (The Ping Pong Song),33,219533,FALSE,2007,45,0,0.753,0.759,8,-4.829,1,0.0487,0.0523,0,0.0263,0.706,114.999,"pop, latin",1,0,0,0,0,0,1
T2,Heartbroken - Edit,18,178613,FALSE,2017,59,0,0.716,0.757,11,-5.438,0,0.0329,0.0258,0.00392,0.16,0.877,139.986,Dance/Electronic,0,0,0,1,0,0,0
Robyn,With Every Heartbeat,20,254920,FALSE,2005,36,0,0.477,0.865,4,-4.462,0,0.0395,0.00877,4.52E-05,0.271,0.413,120.872,"pop, Dance/Electronic",1,0,0,1,0,0,0
Maroon 5,Makes Me Wonder,15,211080,TRUE,2007,62,0,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,pop,1,0,0,0,0,0,0
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",37,212040,FALSE,2007,68,0,0.435,0.887,9,-4.07,1,0.0636,0.000747,0,0.0327,0.408,199.935,rock,0,1,0,0,0,0,0
Paramore,Misery Business,15,211520,FALSE,2007,72,0,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26E-06,0.113,0.731,172.977,"pop, rock",1,1,0,0,0,0,0
Hinder,Better Than Me,14,223533,FALSE,2019,30,0,0.451,0.682,2,-5.295,0,0.029,0.205,0,0.175,0.254,139.913,"pop, rock, metal",1,1,0,0,0,0,0
Huey,"Pop, Lock & Drop It - Video Edit",32,261026,FALSE,2006,52,0,0.723,0.644,11,-6.863,0,0.222,0.00308,0,0.352,0.645,144.09,"hip hop, pop",1,0,1,0,0,0,0
Foo Fighters,The Pretender,13,269373,FALSE,2007,78,1,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,"rock, metal",0,1,0,0,0,0,0
Plies,Shawty (feat. T Pain),21,255413,TRUE,2007,61,0,0.444,0.708,4,-5.926,0,0.126,0.0419,0,0.0775,0.26,105.412,"hip hop, pop, R&B",1,0,1,0,0,1,0
Kaiser Chiefs,Ruby,4,204200,FALSE,2007,67,0,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85E-06,0.0774,0.448,93.416,rock,0,1,0,0,0,0,0
Mark Ronson,Stop Me (feat. Daniel Merriweather),35,232946,FALSE,2007,46,0,0.626,0.906,0,-4.334,1,0.0403,0.00128,8.52E-06,0.137,0.346,118.035,pop,1,0,0,0,0,0,0
Bow Wow,Outta My System (feat. T-Pain & Johnt?? Austin),47,238266,FALSE,2006,57,0,0.772,0.59,6,-6.957,1,0.183,0.0917,0,0.101,0.743,83.998,"hip hop, pop, R&B",1,0,1,0,0,1,0
Jim Jones,We Fly High,11,236080,TRUE,2006,0,0,0.685,0.8,1,-6.564,1,0.298,0.0847,0,0.092,0.483,120.226,"hip hop, pop",1,0,1,0,0,0,0
The Red Jumpsuit Apparatus,Face Down,9,192000,FALSE,2006,74,0,0.545,0.932,7,-2.189,0,0.0399,0.000665,0,0.127,0.464,92.956,pop,1,0,0,0,0,0,0
MIKA,Grace Kelly,11,187733,FALSE,2006,69,0,0.675,0.828,0,-5.799,1,0.0454,0.0242,0.0102,0.364,0.669,122.229,pop,1,0,0,0,0,0,0
Christina Aguilera,Candyman,8,194213,FALSE,2006,66,0,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,pop,1,0,0,0,0,0,0
Sean Kingston,Beautiful Girls,15,225373,FALSE,2007,78,1,0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,"hip hop, pop, R&B",1,0,1,0,0,1,0
Akon,Don't Matter,12,293066,TRUE,2006,52,0,0.801,0.454,2,-6.035,1,0.0371,0.225,0,0.226,0.34,125.139,pop,1,0,0,0,0,0,0
James Blunt,1973,4,280026,FALSE,2007,68,0,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,pop,1,0,0,0,0,0,0
Carrie Underwood,Before He Cheats,16,199946,FALSE,2005,76,1,0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,"pop, country",1,0,0,0,0,0,0
Just Jack,Starz In Their Eyes,19,295933,FALSE,2006,52,0,0.67,0.8,3,-6.731,1,0.0652,0.00184,0.000356,0.466,0.656,123.802,Dance/Electronic,0,0,0,1,0,0,0
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),48,227960,FALSE,2007,2,0,0.451,0.55,1,-8.137,1,0.262,0.0108,0,0.0737,0.594,80.001,"hip hop, pop, R&B",1,0,1,0,0,1,0
Bone Thugs-N-Harmony,I Tried,7,287480,TRUE,2007,61,0,0.727,0.71,4,-6.142,1,0.0742,0.0104,0,0.107,0.378,81.995,"hip hop, pop",1,0,1,0,0,0,0
